Merchant_ID,Merchant_Name,Merchant_Category,State,City,Merchant_Risk_Level,Merchant_Rating,Merchant_Status,Merchant_Since
MER100001,Paytm Utilities,Utilities,Haryana,Gurugram,Medium,4.8,Active,29-07-2012
MER100002,Coursera,Education,Bihar,Patna,Low,4.3,Active,09-03-2008
MER100003,Redbus,Travel,Bihar,Muzaffarpur,Low,4.7,Active,12-08-2006
MER100004,Air India,Airline,Tamil Nadu,Salem,Low,3.6,Active,30-03-2008
MER100005,IndiGo,Airline,Punjab,Jalandhar,Medium,4.1,Active,18-07-2007
MER100006,Shell Station,Fuel,Gujarat,Surat,Low,4.5,Active,25-02-2016
MER100007,Swiggy,Food Delivery,Madhya Pradesh,Indore,Low,4.6,Active,28-03-2023
MER100008,Amazon,Ecommerce,West Bengal,Siliguri,Low,5,Inactive,14-11-2018
MER100009,Udemy,Education,Assam,Nagaon,Low,5,Active,17-07-2017
MER100010,Apollo Hospitals,Hospital,Haryana,HOdal,Low,4.9,Active,27-11-2021
MER100011,Jiomart,Ecommerce,Rajasthan,Alwar,Medium,3.8,Inactive,25-09-2022
MER100012,Akasa Air,Airline,Uttar Pradesh,Aligarh,Medium,3.6,Active,28-08-2012
MER100013,Vijay Sales,Electronics,West Bengal,Howrah,Low,4.6,Active,08-03-2020
MER100014,Ola Cabs,Travel,Punjab,Amritsar,High,4.1,Active,09-04-2024
MER100015,Unacademy,Education,Gujarat,Gandhinagar,Low,4.7,Active,25-01-2013
MER100016,Marriott India,Hotel,Rajasthan,Bharatpur,Low,4.8,Active,09-04-2011
MER100017,Redbus,Travel,Haryana,Nuh,Low,4.1,Active,03-03-2022
MER100018,Meesho,Ecommerce,Gujarat,Vadodara,Medium,4.4,Active,20-08-2011
MER100019,Domino's India,Food Delivery,Haryana,Gurugram,Low,4.6,Active,12-10-2014
MER100020,Jio Prepaid,Utilities,Madhya Pradesh,Ujjain,Low,4.8,Active,29-07-2011
MER100021,Air India,Airline,Punjab,Amritsar,Low,4.3,Active,21-03-2026
MER100022,SpiceJet,Airline,West Bengal,Siliguri,High,4.2,Active,21-07-2013
MER100023,Pharmeasy,Pharmacy,Haryana,Sohna,Medium,4,Active,28-12-2008
MER100024,Netflix India,Entertainment,Bihar,Gaya,Low,3.7,Active,05-01-2021
MER100025,Reliance Digital,Electronics,Punjab,Jalandhar,Low,4.1,Active,09-11-2006
MER100026,BookMyShow,Entertainment,Telangana,Nizamabad,Medium,3.6,Active,30-11-2007
MER100027,Jio-bp,Fuel,Odisha,Bhubaneswar,Low,4.2,Active,17-09-2006
MER100028,Max Healthcare,Hospital,Gujarat,Jamnagar,Low,4.3,Active,12-05-2007
MER100029,Max Healthcare,Hospital,Telangana,Warangal,Low,4.5,Active,18-07-2026
MER100030,Udemy,Education,Telangana,Warangal,Low,4.4,Active,10-09-2006
MER100031,Taj Hotels,Hotel,Bihar,Purnia,Low,4.7,Active,20-02-2007
MER100032,Swiggy,Food Delivery,Gujarat,Jamnagar,Low,4.2,Active,07-07-2015
MER100033,Trends,Fashion,Punjab,Jalandhar,Medium,3.9,Active,12-04-2016
MER100034,Samsung SmartCafe,Electronics,Haryana,Sohna,Medium,4.8,Active,30-07-2009
MER100035,MakeMyTrip,Travel,Bihar,Patna,Medium,4.2,Active,19-11-2021
MER100036,Vijay Sales,Electronics,Tamil Nadu,Coimbatore,Medium,3.7,Active,18-07-2010
MER100037,SpiceJet,Airline,Tamil Nadu,Salem,Low,4,Active,11-07-2011
MER100038,Tata Play,Utilities,Bihar,Gaya,Low,4.9,Active,31-12-2011
MER100039,Samsung SmartCafe,Electronics,Kerala,Thiruvananthapuram,Medium,4.3,Active,22-01-2019
MER100040,Tata Cliq,Ecommerce,Odisha,Sambalpur,High,4,Active,24-05-2019
MER100041,Zepto,Grocery,Punjab,Jalandhar,Medium,3.7,Active,21-10-2023
MER100042,Physics Wallah,Education,Kerala,Kollam,Low,4.1,Active,14-02-2023
MER100043,Amazon,Ecommerce,Telangana,Khammam,High,3.9,Active,16-05-2025
MER100044,Netmeds,Pharmacy,Assam,Guwahati,Low,4.9,Active,12-02-2020
MER100045,Apollo Pharmacy,Pharmacy,Odisha,Cuttack,Low,4.7,Active,08-02-2020
MER100046,Snapdeal,Ecommerce,Rajasthan,Alwar,High,4,Active,19-01-2017
MER100047,MakeMyTrip Hotels,Hotel,Assam,Dibrugarh,High,4.4,Active,30-08-2013
MER100048,BYJU'S,Education,Uttar Pradesh,Meerut,Medium,4,Active,24-09-2011
MER100049,Airtel Postpaid,Utilities,West Bengal,Kolkata,Low,4.1,Active,12-09-2021
MER100050,Pharmeasy,Pharmacy,Gujarat,Gandhinagar,Medium,4.4,Active,10-07-2018
MER100051,Taj Hotels,Hotel,Madhya Pradesh,Ujjain,Medium,4.4,Active,05-08-2009
MER100052,Zara India,Fashion,Rajasthan,Alwar,Low,4.5,Active,12-04-2017
MER100053,PhonePe,Financial Services,Madhya Pradesh,Indore,Low,4.4,Active,25-06-2011
MER100054,HP Lubricants,Fuel,Tamil Nadu,Salem,Low,3.8,Active,07-02-2012
MER100055,Akasa Air,Airline,Haryana,Faridabad,Low,4.3,Active,04-09-2022
MER100056,Netflix India,Entertainment,Haryana,Palwal,Low,4,Inactive,25-06-2007
MER100057,Reliance Digital,Electronics,Uttar Pradesh,Aligarh,Medium,4.3,Active,13-12-2015
MER100058,Fortis Healthcare,Hospital,Odisha,Cuttack,Low,4.8,Active,08-01-2025
